iter	Passed	Remaining
0	100	100321
1	174	87118
2	282	93836
3	376	93761
4	474	94395
5	562	93147
6	653	92757
7	757	93982
8	862	95018
9	959	94954
10	1057	95053
11	1166	96025
12	1276	96880
13	1376	96948
14	1473	96778
15	1555	95692
16	1648	95306
17	1756	95819
18	1842	95135
19	1930	94570
20	2021	94219
21	2109	93798
22	2206	93721
23	2309	93921
24	2399	93570
25	2492	93387
26	2599	93687
27	2690	93404
28	2788	93376
29	2881	93169
30	2980	93178
31	3077	93096
32	3171	92935
33	3283	93302
34	3386	93382
35	3485	93332
36	3587	93361
37	3692	93471
38	3801	93662
39	3900	93600
40	4005	93687
41	4098	93481
42	4187	93191
43	4279	92972
44	4395	93285
45	4489	93107
46	4585	92980
47	4677	92763
48	4771	92610
49	4861	92361
50	4972	92525
51	5064	92331
52	5162	92250
53	5271	92343
54	5369	92250
55	5473	92262
56	5571	92179
57	5666	92031
58	5765	91946
59	5877	92088
60	5967	91855
61	6068	91803
62	6166	91713
63	6260	91564
64	6363	91534
65	6459	91414
66	6549	91197
67	6650	91144
68	6752	91103
69	6858	91126
70	6973	91244
71	7077	91220
72	7170	91060
73	7274	91028
74	7378	91001
75	7475	90885
76	7575	90802
77	7676	90745
78	7779	90699
79	7871	90523
80	7967	90394
81	8066	90304
82	8171	90281
83	8259	90073
84	8353	89927
85	8442	89721
86	8563	89869
87	8665	89802
88	8772	89797
89	8869	89682
90	8944	89347
91	9039	89213
92	9138	89125
93	9229	88957
94	9320	88793
95	9422	88732
96	9517	88605
97	9624	88581
98	9715	88422
99	9817	88353
100	9930	88395
101	10030	88310
102	10111	88062
103	10207	87945
104	10319	87964
105	10419	87874
106	10518	87781
107	10617	87694
108	10713	87575
109	10817	87521
110	10912	87394
111	11011	87304
112	11119	87284
113	11218	87185
114	11318	87106
115	11416	87005
116	11517	86923
117	11621	86863
118	11721	86777
119	11827	86735
120	11918	86584
121	12026	86550
122	12130	86488
123	12225	86364
124	12318	86230
125	12435	86257
126	12536	86174
127	12627	86021
128	12732	85971
129	12829	85861
130	12924	85735
131	13008	85538
132	13113	85485
133	13217	85420
134	13316	85324
135	13419	85251
136	13519	85165
137	13615	85048
138	13725	85020
139	13819	84890
140	13928	84857
141	14029	84768
142	14149	84798
143	14253	84731
144	14358	84666
145	14464	84606
146	14564	84516
147	14662	84408
148	14759	84295
149	14863	84223
150	14971	84178
151	15083	84149
152	15194	84114
153	15309	84102
154	15418	84054
155	15512	83925
156	15612	83831
157	15722	83784
158	15826	83710
159	15931	83638
160	16029	83533
161	16130	83438
162	16242	83404
163	16348	83339
164	16459	83294
165	16566	83233
166	16674	83170
167	16779	83096
168	16885	83027
169	16990	82952
170	17095	82876
171	17196	82785
172	17304	82722
173	17408	82641
174	17515	82572
175	17620	82495
176	17723	82408
177	17829	82334
178	17941	82289
179	18045	82205
180	18138	82074
181	18240	81983
182	18341	81884
183	18442	81789
184	18541	81682
185	18633	81545
186	18732	81439
187	18827	81318
188	18918	81177
189	19022	81095
190	19128	81018
191	19261	81058
192	19380	81035
193	19504	81032
194	19608	80948
195	19721	80900
196	19836	80857
197	19948	80801
198	20053	80716
199	20163	80653
200	20275	80596
201	20378	80504
202	20488	80439
203	20606	80406
204	20748	80461
205	20863	80413
206	20987	80402
207	21088	80299
208	21206	80258
209	21318	80198
210	21461	80251
211	21592	80259
212	21724	80268
213	21859	80289
214	21990	80292
215	22116	80273
216	22244	80264
217	22371	80251
218	22489	80202
219	22620	80199
220	22757	80216
221	22871	80152
222	22999	80138
223	23116	80083
224	23238	80045
225	23337	79924
226	23442	79829
227	23542	79713
228	23654	79640
229	23759	79542
230	23872	79471
231	23973	79358
232	24080	79269
233	24201	79225
234	24318	79165
235	24419	79053
236	24532	78979
237	24645	78907
238	24754	78819
239	24864	78737
240	24967	78633
241	25069	78522
242	25181	78446
243	25287	78349
244	25377	78205
245	25472	78074
246	25580	77983
247	25676	77857
248	25769	77721
249	25867	77602
250	25974	77508
251	26084	77425
252	26186	77316
253	26297	77235
254	26393	77110
255	26503	77026
256	26610	76930
257	26713	76828
258	26813	76714
259	26920	76620
260	27027	76525
261	27129	76416
262	27243	76343
263	27353	76257
264	27461	76167
265	27576	76093
266	27694	76030
267	27806	75949
268	27901	75820
269	28014	75742
270	28118	75639
271	28221	75533
272	28327	75436
273	28435	75344
274	28559	75293
275	28665	75195
276	28765	75082
277	28873	74988
278	28985	74904
279	29090	74805
280	29191	74693
281	29304	74611
282	29416	74528
283	29525	74438
284	29643	74368
285	29754	74282
286	29868	74202
287	29974	74103
288	30075	73991
289	30194	73923
290	30327	73891
291	30438	73803
292	30552	73723
293	30668	73647
294	30771	73539
295	30890	73468
296	30992	73360
297	31100	73264
298	31200	73149
299	31307	73051
300	31417	72959
301	31521	72854
302	31617	72731
303	31728	72640
304	31839	72553
305	31949	72461
306	32047	72340
307	32152	72237
308	32252	72123
309	32366	72041
310	32474	71944
311	32570	71822
312	32674	71717
313	32782	71620
314	32903	71553
315	33011	71454
316	33119	71358
317	33228	71262
318	33324	71140
319	33432	71043
320	33540	70947
321	33650	70853
322	33752	70745
323	33853	70632
324	33956	70524
325	34070	70439
326	34179	70345
327	34284	70240
328	34397	70154
329	34501	70047
330	34601	69934
331	34709	69837
332	34813	69730
333	34923	69637
334	35019	69515
335	35115	69394
336	35214	69279
337	35318	69173
338	35417	69058
339	35524	68959
340	35629	68855
341	35733	68750
342	35836	68642
343	35936	68530
344	36045	68433
345	36144	68319
346	36252	68221
347	36357	68118
348	36458	68007
349	36571	67918
350	36682	67825
351	36782	67713
352	36878	67593
353	36991	67504
354	37095	67398
355	37199	67293
356	37295	67173
357	37394	67059
358	37487	66935
359	37588	66824
360	37685	66706
361	37784	66592
362	37880	66473
363	37980	66361
364	38076	66243
365	38177	66131
366	38269	66006
367	38369	65895
368	38467	65780
369	38565	65665
370	38662	65549
371	38765	65442
372	38867	65335
373	38983	65249
374	39087	65145
375	39181	65025
376	39294	64935
377	39394	64824
378	39500	64722
379	39599	64609
380	39706	64510
381	39805	64397
382	39897	64273
383	40007	64178
384	40108	64068
385	40209	63959
386	40315	63858
387	40416	63750
388	40523	63649
389	40629	63549
390	40732	63443
391	40828	63325
392	40939	63231
393	41043	63128
394	41134	63003
395	41230	62887
396	41324	62767
397	41416	62644
398	41513	62530
399	41607	62411
400	41707	62301
401	41809	62194
402	41912	62089
403	42011	61976
404	42107	61862
405	42205	61748
406	42298	61628
407	42399	61521
408	42497	61408
409	42600	61302
410	42688	61177
411	42789	61067
412	42882	60949
413	42977	60833
414	43078	60724
415	43176	60612
416	43271	60497
417	43380	60400
418	43474	60283
419	43574	60174
420	43685	60080
421	43786	59973
422	43883	59859
423	43986	59755
424	44075	59631
425	44175	59522
426	44274	59412
427	44388	59322
428	44491	59218
429	44595	59115
430	44697	59008
431	44809	58916
432	44929	58833
433	45036	58733
434	45147	58639
435	45253	58539
436	45364	58444
437	45467	58339
438	45573	58238
439	45679	58137
440	45781	58031
441	45877	57917
442	45964	57792
443	46060	57679
444	46162	57573
445	46267	57470
